"country","year","threshold","personRate","householdRate","personRateNoBen","householdRateNoBen"
"HU",2005,30,0,0,0,0
"HU",2005,31,0,0,0,0
"HU",2005,32,0,0,0,0
"HU",2005,33,0,0,0,0
"HU",2005,34,0,0,0,0
"HU",2005,35,0,0,0,0
"HU",2005,36,0,0,0,0
"HU",2005,37,0,0,0,0
"HU",2005,38,0,0,0,0
"HU",2005,39,0,0,0,0
"HU",2005,40,0,0,0,0
"HU",2005,41,0,0,0,0
"HU",2005,42,0,0,0,0
"HU",2005,43,0,0,0,0
"HU",2005,44,0,0,0,0
"HU",2005,45,0,0,0,0
"HU",2005,46,0,0,0,0
"HU",2005,47,0,0,0,0
"HU",2005,48,0,0,0,0
"HU",2005,49,0,0,0,0
"HU",2005,50,0,0,0,0
"HU",2005,51,0,0,0,0
"HU",2005,52,0,0,0,0
"HU",2005,53,0,0,0,0
"HU",2005,54,0,0,0,0
"HU",2005,55,0,0,0,0
"HU",2005,56,0,0,0,0
"HU",2005,57,0,0,0,0
"HU",2005,58,0,0,0,0
"HU",2005,59,0,0,0,0
"HU",2005,60,0,0,0,0
"HU",2005,61,0,0,0,0
"HU",2005,62,0,0,0,0
"HU",2005,63,0,0,0,0
"HU",2005,64,0,0,0,0
"HU",2005,65,0,0,0,0
"HU",2005,66,0,0,0,0
"HU",2005,67,0,0,0,0
"HU",2005,68,0,0,0,0
"HU",2005,69,0,0,0,0
"HU",2005,70,0,0,0,0
"HU",2005,71,0,0,0,0
"HU",2005,72,0,0,0,0
"HU",2005,73,0,0,0,0
"HU",2005,74,0,0,0,0
"HU",2005,75,0,0,0,0
"HU",2005,76,0,0,0,0
"HU",2005,77,0,0,0,0
"HU",2005,78,0,0,0,0
"HU",2005,79,0,0,0,0
"HU",2005,80,0,0,0,0
"HU",2006,30,0,0,0,0
"HU",2006,31,0,0,0,0
"HU",2006,32,0,0,0,0
"HU",2006,33,0,0,0,0
"HU",2006,34,0,0,0,0
"HU",2006,35,0,0,0,0
"HU",2006,36,0,0,0,0
"HU",2006,37,0,0,0,0
"HU",2006,38,0,0,0,0
"HU",2006,39,0,0,0,0
"HU",2006,40,0,0,0,0
"HU",2006,41,0,0,0,0
"HU",2006,42,0,0,0,0
"HU",2006,43,0,0,0,0
"HU",2006,44,0,0,0,0
"HU",2006,45,0,0,0,0
"HU",2006,46,0,0,0,0
"HU",2006,47,0,0,0,0
"HU",2006,48,0,0,0,0
"HU",2006,49,0,0,0,0
"HU",2006,50,0,0,0,0
"HU",2006,51,0,0,0,0
"HU",2006,52,0,0,0,0
"HU",2006,53,0,0,0,0
"HU",2006,54,0,0,0,0
"HU",2006,55,0,0,0,0
"HU",2006,56,0,0,0,0
"HU",2006,57,0,0,0,0
"HU",2006,58,0,0,0,0
"HU",2006,59,0,0,0,0
"HU",2006,60,0,0,0,0
"HU",2006,61,0,0,0,0
"HU",2006,62,0,0,0,0
"HU",2006,63,0,0,0,0
"HU",2006,64,0,0,0,0
"HU",2006,65,0,0,0,0
"HU",2006,66,0,0,0,0
"HU",2006,67,0,0,0,0
"HU",2006,68,0,0,0,0
"HU",2006,69,0,0,0,0
"HU",2006,70,0,0,0,0
"HU",2006,71,0,0,0,0
"HU",2006,72,0,0,0,0
"HU",2006,73,0,0,0,0
"HU",2006,74,0,0,0,0
"HU",2006,75,0,0,0,0
"HU",2006,76,0,0,0,0
"HU",2006,77,0,0,0,0
"HU",2006,78,0,0,0,0
"HU",2006,79,0,0,0,0
"HU",2006,80,0,0,0,0
"HU",2007,30,0,0,0,0
"HU",2007,31,0,0,0,0
"HU",2007,32,0,0,0,0
"HU",2007,33,0,0,0,0
"HU",2007,34,0,0,0,0
"HU",2007,35,0,0,0,0
"HU",2007,36,0,0,0,0
"HU",2007,37,0,0,0,0
"HU",2007,38,0,0,0,0
"HU",2007,39,0,0,0,0
"HU",2007,40,0,0,0,0
"HU",2007,41,0,0,0,0
"HU",2007,42,0,0,0,0
"HU",2007,43,0,0,0,0
"HU",2007,44,0,0,0,0
"HU",2007,45,0,0,0,0
"HU",2007,46,0,0,0,0
"HU",2007,47,0,0,0,0
"HU",2007,48,0,0,0,0
"HU",2007,49,0,0,0,0
"HU",2007,50,0,0,0,0
"HU",2007,51,0,0,0,0
"HU",2007,52,0,0,0,0
"HU",2007,53,0,0,0,0
"HU",2007,54,0,0,0,0
"HU",2007,55,0,0,0,0
"HU",2007,56,0,0,0,0
"HU",2007,57,0,0,0,0
"HU",2007,58,0,0,0,0
"HU",2007,59,0,0,0,0
"HU",2007,60,0,0,0,0
"HU",2007,61,0,0,0,0
"HU",2007,62,0,0,0,0
"HU",2007,63,0,0,0,0
"HU",2007,64,0,0,0,0
"HU",2007,65,0,0,0,0
"HU",2007,66,0,0,0,0
"HU",2007,67,0,0,0,0
"HU",2007,68,0,0,0,0
"HU",2007,69,0,0,0,0
"HU",2007,70,0,0,0,0
"HU",2007,71,0,0,0,0
"HU",2007,72,0,0,0,0
"HU",2007,73,0,0,0,0
"HU",2007,74,0,0,0,0
"HU",2007,75,0,0,0,0
"HU",2007,76,0,0,0,0
"HU",2007,77,0,0,0,0
"HU",2007,78,0,0,0,0
"HU",2007,79,0,0,0,0
"HU",2007,80,0,0,0,0
"HU",2008,30,0,0,0,0
"HU",2008,31,0,0,0,0
"HU",2008,32,0,0,0,0
"HU",2008,33,0,0,0,0
"HU",2008,34,0,0,0,0
"HU",2008,35,0,0,0,0
"HU",2008,36,0,0,0,0
"HU",2008,37,0,0,0,0
"HU",2008,38,0,0,0,0
"HU",2008,39,0,0,0,0
"HU",2008,40,0,0,0,0
"HU",2008,41,0,0,0,0
"HU",2008,42,0,0,0,0
"HU",2008,43,0,0,0,0
"HU",2008,44,0,0,0,0
"HU",2008,45,0,0,0,0
"HU",2008,46,0,0,0,0
"HU",2008,47,0,0,0,0
"HU",2008,48,0,0,0,0
"HU",2008,49,0,0,0,0
"HU",2008,50,0,0,0,0
"HU",2008,51,0,0,0,0
"HU",2008,52,0,0,0,0
"HU",2008,53,0,0,0,0
"HU",2008,54,0,0,0,0
"HU",2008,55,0,0,0,0
"HU",2008,56,0,0,0,0
"HU",2008,57,0,0,0,0
"HU",2008,58,0,0,0,0
"HU",2008,59,0,0,0,0
"HU",2008,60,0,0,0,0
"HU",2008,61,0,0,0,0
"HU",2008,62,0,0,0,0
"HU",2008,63,0,0,0,0
"HU",2008,64,0,0,0,0
"HU",2008,65,0,0,0,0
"HU",2008,66,0,0,0,0
"HU",2008,67,0,0,0,0
"HU",2008,68,0,0,0,0
"HU",2008,69,0,0,0,0
"HU",2008,70,0,0,0,0
"HU",2008,71,0,0,0,0
"HU",2008,72,0,0,0,0
"HU",2008,73,0,0,0,0
"HU",2008,74,0,0,0,0
"HU",2008,75,0,0,0,0
"HU",2008,76,0,0,0,0
"HU",2008,77,0,0,0,0
"HU",2008,78,0,0,0,0
"HU",2008,79,0,0,0,0
"HU",2008,80,0,0,0,0
"HU",2009,30,0,0,0,0
"HU",2009,31,0,0,0,0
"HU",2009,32,0,0,0,0
"HU",2009,33,0,0,0,0
"HU",2009,34,0,0,0,0
"HU",2009,35,0,0,0,0
"HU",2009,36,0,0,0,0
"HU",2009,37,0,0,0,0
"HU",2009,38,0,0,0,0
"HU",2009,39,0,0,0,0
"HU",2009,40,0,0,0,0
"HU",2009,41,0,0,0,0
"HU",2009,42,0,0,0,0
"HU",2009,43,0,0,0,0
"HU",2009,44,0,0,0,0
"HU",2009,45,0,0,0,0
"HU",2009,46,0,0,0,0
"HU",2009,47,0,0,0,0
"HU",2009,48,0,0,0,0
"HU",2009,49,0,0,0,0
"HU",2009,50,0,0,0,0
"HU",2009,51,0,0,0,0
"HU",2009,52,0,0,0,0
"HU",2009,53,0,0,0,0
"HU",2009,54,0,0,0,0
"HU",2009,55,0,0,0,0
"HU",2009,56,0,0,0,0
"HU",2009,57,0,0,0,0
"HU",2009,58,0,0,0,0
"HU",2009,59,0,0,0,0
"HU",2009,60,0,0,0,0
"HU",2009,61,0,0,0,0
"HU",2009,62,0,0,0,0
"HU",2009,63,0,0,0,0
"HU",2009,64,0,0,0,0
"HU",2009,65,0,0,0,0
"HU",2009,66,0,0,0,0
"HU",2009,67,0,0,0,0
"HU",2009,68,0,0,0,0
"HU",2009,69,0,0,0,0
"HU",2009,70,0,0,0,0
"HU",2009,71,0,0,0,0
"HU",2009,72,0,0,0,0
"HU",2009,73,0,0,0,0
"HU",2009,74,0,0,0,0
"HU",2009,75,0,0,0,0
"HU",2009,76,0,0,0,0
"HU",2009,77,0,0,0,0
"HU",2009,78,0,0,0,0
"HU",2009,79,0,0,0,0
"HU",2009,80,0,0,0,0
"HU",2010,30,0,0,0,0
"HU",2010,31,0,0,0,0
"HU",2010,32,0,0,0,0
"HU",2010,33,0,0,0,0
"HU",2010,34,0,0,0,0
"HU",2010,35,0,0,0,0
"HU",2010,36,0,0,0,0
"HU",2010,37,0,0,0,0
"HU",2010,38,0,0,0,0
"HU",2010,39,0,0,0,0
"HU",2010,40,0,0,0,0
"HU",2010,41,0,0,0,0
"HU",2010,42,0,0,0,0
"HU",2010,43,0,0,0,0
"HU",2010,44,0,0,0,0
"HU",2010,45,0,0,0,0
"HU",2010,46,0,0,0,0
"HU",2010,47,0,0,0,0
"HU",2010,48,0,0,0,0
"HU",2010,49,0,0,0,0
"HU",2010,50,0,0,0,0
"HU",2010,51,0,0,0,0
"HU",2010,52,0,0,0,0
"HU",2010,53,0,0,0,0
"HU",2010,54,0,0,0,0
"HU",2010,55,0,0,0,0
"HU",2010,56,0,0,0,0
"HU",2010,57,0,0,0,0
"HU",2010,58,0,0,0,0
"HU",2010,59,0,0,0,0
"HU",2010,60,0,0,0,0
"HU",2010,61,0,0,0,0
"HU",2010,62,0,0,0,0
"HU",2010,63,0,0,0,0
"HU",2010,64,0,0,0,0
"HU",2010,65,0,0,0,0
